,type,created_at,updated_at
0,中判サイズ,,
1,フルサイズ,,
2,APS-C,,
3,4/3型,,
4,1型,,
5,1/2.3型,,
6,1/3.1型,,
7,1/1.7型,,
8,1.5型,,
9,1/10型,,
10,1/5型,,
11,CMOSx2,,
12,CMOS,,
13,CCD,,
14,不明,,
